theta1,omega1,theta2,omega2,next_theta1,next_omega1,next_theta2,next_omega2,rollout
2.0919272801999353,-0.7781052148272205,1.1510183373009184,1.0212731520602834,2.0739101085328473,-0.9518667824800553,1.171549011643174,0.9512482439751238,0
2.0739101085328473,-0.9518667824800553,1.171549011643174,0.9512482439751238,2.0522504589703874,-1.1278860274767393,1.1907248667882067,0.8914587025343816,0
2.0522504589703874,-1.1278860274767393,1.1907248667882067,0.8914587025343816,2.026894884071972,-1.3067797151162035,1.2087744961352842,0.8433828038853851,0
2.026894884071972,-1.3067797151162035,1.2087744961352842,0.8433828038853851,1.9978126321729834,-1.488751280062117,1.2258314314352345,0.8069936456360539,0
1.9978126321729834,-1.488751280062117,1.2258314314352345,0.8069936456360539,1.964919633857081,-1.674452071396914,1.2422015935971182,0.7838699937461518,0
1.964919633857081,-1.674452071396914,1.2422015935971182,0.7838699937461518,1.9280830653145073,-1.86483767625268,1.2583490006527456,0.7767255998378334,0
1.9280830653145073,-1.86483767625268,1.2583490006527456,0.7767255998378334,1.8871855465528729,-2.0604308166341823,1.2746695792640321,0.7867484343101318,0
1.8871855465528729,-2.0604308166341823,1.2746695792640321,0.7867484343101318,1.8421251423906921,-2.2613213383451005,1.2914911612146154,0.8136006461806977,0
1.8421251423906921,-2.2613213383451005,1.2914911612146154,0.8136006461806977,1.792815362457385,-2.467166210988025,1.3090734834098545,0.8554185630857991,0
1.792815362457385,-2.467166210988025,1.3090734834098545,0.8554185630857991,1.7391851611932758,-2.6771895279644564,1.32760818787683,0.9088126912803208,0
1.7391851611932758,-2.6771895279644564,1.32760818787683,0.9088126912803208,1.6811789378495936,-2.890182506474809,1.3472188217643446,0.9688677156377653,0
1.6811789378495936,-2.890182506474809,1.3472188217643446,0.9688677156377653,1.6187565364884722,-3.1045034875184063,1.3679608373429226,1.029142499650252,0
1.6187565364884722,-3.1045034875184063,1.3679608373429226,1.029142499650252,1.5518932459829502,-3.3180779358934824,1.3898215920048098,1.081670085428518,0
1.5518932459829502,-3.3180779358934824,1.3898215920048098,1.081670085428518,1.4805826978054386,-3.5284080549516155,1.4127135836049094,1.1170739036619974,0
1.4805826978054386,-3.5284080549516155,1.4127135836049094,1.1170739036619974,1.4049276509101116,-3.732438863510039,1.4361900869806707,1.124870528282883,0
1.4049276509101116,-3.732438863510039,1.4361900869806707,1.124870528282883,1.3251360375423125,-3.926473121895394,1.4593564938415902,1.090688114803498,0
1.3251360375423125,-3.926473121895394,1.4593564938415902,1.090688114803498,1.241450482031854,-4.107393327397786,1.4811749016487419,1.0021421080360602,0
1.241450482031854,-4.107393327397786,1.4811749016487419,1.0021421080360602,1.1541519117419607,-4.272852160395838,1.5004771627928684,0.8501507060483949,0
1.1541519117419607,-4.272852160395838,1.5004771627928684,0.8501507060483949,1.0635595570692706,-4.421272484356683,1.51596488459438,0.6289348601639375,0
1.0635595570692706,-4.421272484356683,1.51596488459438,0.6289348601639375,0.9700309514438316,-4.55184734583597,1.5262094293033557,0.3360182749617301,0
0.9700309514438316,-4.55184734583597,1.5262094293033557,0.3360182749617301,0.8739619313291037,-4.664539974477863,1.5296519140995426,-0.027772591723578266,0
0.8739619313291037,-4.664539974477863,1.5296519140995426,-0.027772591723578266,0.7757589422316213,-4.759708469192504,1.5247089763226656,-0.4585128789191104,0
0.7757589422316213,-4.759708469192504,1.5247089763226656,-0.4585128789191104,0.6757646820624276,-4.836564067453661,1.5101334909532746,-0.9502692133326709,0
0.6757646820624276,-4.836564067453661,1.5101334909532746,-0.9502692133326709,0.5743714963761568,-4.893771331809594,1.4847428167326993,-1.4954274415606423,0
0.5743714963761568,-4.893771331809594,1.4847428167326993,-1.4954274415606423,0.4720090008735387,-4.929157162388953,1.4475148875537833,-2.0851059872137534,1
0.4720090008735387,-4.929157162388953,1.4475148875537833,-2.0851059872137534,0.36916211780267494,-4.939725011374775,1.3976222490262036,-2.709489577161258,1
0.36916211780267494,-4.939725011374775,1.3976222490262036,-2.709489577161258,0.2663330928479667,-4.922222584105476,1.3344832194773197,-3.3579152277922275,1
0.2663330928479667,-4.922222584105476,1.3344832194773197,-3.3579152277922275,0.1640881056337494,-4.873004986212913,1.25778532267844,-4.019072418954897,1
0.1640881056337494,-4.873004986212913,1.25778532267844,-4.019072418954897,0.06328989796509349,-4.787482783344404,1.1673046702550915,-4.682391169777142,1
